[2025-06-03 18:39:42,356] INFO - 🚀 Starting preprocessing...
[2025-06-03 18:39:56,107] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-06-03 18:39:56,118] INFO - 🧹 Cleaning text...
[2025-06-03 18:39:56,703] INFO - ✅ Text cleaned.
[2025-06-03 18:39:56,704] INFO - 🔠 Vectorizing using TF-IDF...
[2025-06-03 18:39:56,814] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-06-03 18:39:56,815] INFO - 📐 Calculating cosine similarity...
[2025-06-03 18:39:57,081] INFO - ✅ Cosine similarity matrix generated.
[2025-06-03 18:39:57,183] INFO - 💾 Data saved to disk.
[2025-06-03 18:39:57,184] INFO - ✅ Preprocessing complete.
[2025-06-24 19:41:21,729] INFO - 🚀 Starting preprocessing...
[2025-06-24 19:41:22,249] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-06-24 19:41:22,270] INFO - 🧹 Cleaning text...
[2025-06-24 19:41:22,873] INFO - ✅ Text cleaned.
[2025-06-24 19:41:22,874] INFO - 🔠 Vectorizing using TF-IDF...
[2025-06-24 19:41:22,988] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-06-24 19:41:22,989] INFO - 📐 Calculating cosine similarity...
[2025-06-24 19:41:23,259] INFO - ✅ Cosine similarity matrix generated.
[2025-06-24 19:41:23,370] INFO - 💾 Data saved to disk.
[2025-06-24 19:41:23,370] INFO - ✅ Preprocessing complete.
